time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
4,1735,115.9684,-31.9277,0,115.334,-33.449,3604
8,11815,-97.051,32.9328,610,-122.3577,37.6138,-53
9,2199,-117.6076,34.0569,0,-115.1648,36.0851,579
9,1926,-85.943,30.7818,305,-87.1893,30.7866,640
10,1791,-107.4633,35.9187,3353,-106.6224,35.032,1661
11,4672,-83.389,42.18,914,-94.7235,39.3131,358
13,668,-81.6597,28.4203,914,-81.4978,28.7882,914
13,839,-89.4318,43.0763,305,-89.4758,43.5683,427
13,1036,-3.5747,40.4984,305,-2.0144,40.0859,6828
14,1297,73.2745,20.7385,8230,72.8811,19.0889,107
14,7340,-81.7686,26.5276,305,-76.6361,39.1358,191
16,3759,-84.4375,30.4074,1829,-87.0923,30.789,549
17,1632,-84.4035,39.1321,305,-84.246,39.5861,579
20,2267,-93.8348,38.723,914,-93.8188,38.7235,937
21,11029,-104.6883,39.8987,2134,-75.2355,39.8687,23
24,778,-150.227,60.8847,305,-149.8221,61.1892,91
25,2298,-85.8577,33.5113,1524,-84.293,33.8951,442
28,939,-122.8173,44.904,1219,-122.6424,45.6034,61
36,4451,-86.6899,36.0894,305,-81.3169,28.5884,953
36,4397,-90.1339,38.5609,305,-90.1895,38.5829,396
38,9040,-117.1128,33.5992,610,-112.0759,33.688,465
38,6034,-97.0507,32.9124,305,-85.7588,38.2171,373
42,1979,-117.1933,32.7345,0,-119.7907,34.4182,282
43,1065,-81.311,41.5637,1524,-81.4104,41.6819,975
43,6108,-96.8522,32.8416,0,-84.4672,33.6318,404
45,4783,-121.9284,37.3642,0,-112.0315,40.6023,2446
47,7930,-110.9421,32.1181,914,-121.917,37.3538,-8
49,22107,55.3617,25.2506,0,108.4087,28.0232,10698
50,868,-83.3929,42.6654,305,-83.9153,42.7816,922
50,2234,113.8249,22.6134,305,110.4961,20.498,9174
52,1262,-90.4024,38.9326,305,-90.1835,38.5954,366
55,4901,-122.3078,47.4425,0,-121.5803,38.6943,-38
58,5867,-87.7446,41.7799,305,-73.864,40.7937,61
58,1759,77.6972,13.2071,914,79.8989,15.2308,11887
60,16228,133.3475,49.2856,11582,82.7925,55.0253,503
63,3358,-118.3585,34.2054,0,-122.2225,37.707,-91
