state,type,id,year,incidents,fatalities
AL,I,65,1990,37,44
AL,I,65,1995,25,29
AL,I,65,2000,57,61
AL,I,65,2005,55,65
AL,I,65,2010,22,27
AL,I,65,2015,34,37
AL,I,59,1990,29,34
AL,I,59,1995,16,20
AL,I,59,2000,29,31
AL,I,59,2005,17,20
AL,I,59,2010,33,33
AL,I,59,2015,22,23
AL,I,10,1990,5,5
AL,I,10,1995,12,13
AL,I,10,2000,11,12
AL,I,10,2005,10,12
AL,I,10,2010,9,11
AL,I,10,2015,7,7
AL,I,85,1990,7,8
AL,I,85,1995,10,12
AL,I,85,2000,14,17
AL,I,85,2005,11,15
AL,I,85,2010,11,11
AL,I,85,2015,11,11
AL,I,20,1990,8,9
AL,I,20,1995,15,20
AL,I,20,2000,12,13
AL,I,20,2005,12,17
AL,I,20,2010,12,13
AL,I,20,2015,8,9
AL,I,759,1990,1,1
AL,I,759,2000,1,1
AL,I,459,1990,3,3
AL,I,459,1995,3,3
AL,I,459,2000,3,3
AL,I,459,2005,4,4
AL,I,459,2010,4,4
AL,I,459,2015,4,4
AZ,I,10,1990,62,70
AZ,I,10,1995,60,75
AZ,I,10,2000,87,112
AZ,I,10,2005,96,115
AZ,I,10,2010,54,69
AZ,I,10,2015,54,62
AZ,I,19,1990,9,9
AZ,I,19,1995,2,2
AZ,I,19,2000,5,5
AZ,I,19,2005,10,10
AZ,I,19,2010,11,13
AZ,I,19,2015,2,2
AZ,I,40,1990,31,34
AZ,I,40,1995,31,41
AZ,I,40,2000,45,50
AZ,I,40,2005,37,49
AZ,I,40,2010,22,26
AZ,I,40,2015,33,41
AZ,I,17,1990,17,19
AZ,I,17,1995,24,27
AZ,I,17,2000,32,38
AZ,I,17,2005,39,46
AZ,I,17,2010,22,24
AZ,I,17,2015,21,24
AZ,I,8,1990,9,11
AZ,I,8,1995,11,13
AZ,I,8,2000,13,17
AZ,I,8,2005,11,13
AZ,I,8,2010,4,4
AZ,I,8,2015,6,6
AZ,I,15,1990,4,4
AZ,I,15,1995,4,4
AZ,I,15,2000,2,3
AZ,I,15,2005,7,8
AZ,I,15,2010,4,5
AZ,I,15,2015,3,3
AR,I,30,1990,20,23
AR,I,30,1995,13,14
AR,I,30,2000,34,41
AR,I,30,2005,22,27
AR,I,30,2010,22,26
AR,I,30,2015,14,14
AR,I,540,1990,3,4
AR,I,540,2000,5,5
AR,I,540,2005,8,9
AR,I,540,2010,6,6
AR,I,540,2015,1,1
AR,I,55,1990,8,9
AR,I,55,1995,4,4
AR,I,55,2000,7,7
AR,I,55,2005,6,7
AR,I,55,2010,4,5
AR,I,55,2015,6,10
AR,I,430,1990,1,1
AR,I,430,2000,4,8
AR,I,430,2005,1,1
AR,I,430,2010,4,4
AR,I,430,2015,2,2
AR,I,40,1990,17,18
AR,I,40,1995,18,23
AR,I,40,2000,34,41
AR,I,40,2005,32,36
AR,I,40,2010,23,29
AR,I,40,2015,24,32
AR,I,440,1990,1,1
AR,I,440,2000,3,3
AR,I,440,2005,2,3
AR,I,440,2015,1,1
AR,I,630,1990,1,1
AR,I,630,1995,1,1
AR,I,630,2005,1,1
AR,I,630,2015,3,4
CA,I,880,1990,13,15
CA,I,880,1995,5,5
CA,I,880,2000,16,18
CA,I,880,2005,12,12
CA,I,880,2010,8,8
CA,I,880,2015,14,14
CA,I,5,1990,213,246
CA,I,5,1995,150,191
CA,I,5,2000,162,181
CA,I,5,2005,159,191
CA,I,5,2010,98,115
CA,I,5,2015,116,124
CA,I,15,1990,94,110
CA,I,15,1995,74,96
CA,I,15,2000,88,103
CA,I,15,2005,94,109
CA,I,15,2010,51,56
CA,I,15,2015,50,63
CA,I,605,1990,18,20
CA,I,605,1995,8,8
CA,I,605,2000,10,11
CA,I,605,2005,6,6
CA,I,605,2010,9,11
CA,I,605,2015,12,13
CA,I,8,1990,32,33
CA,I,8,1995,31,35
CA,I,8,2000,28,37
CA,I,8,2005,30,31
CA,I,8,2010,16,18
CA,I,8,2015,13,14
CA,I,10,1990,64,79
CA,I,10,1995,57,72
CA,I,10,2000,63,72
CA,I,10,2005,60,68
CA,I,10,2010,50,52
CA,I,10,2015,37,45
CA,I,80,1990,32,38
CA,I,80,1995,27,29
CA,I,80,2000,28,31
CA,I,80,2005,49,61
CA,I,80,2010,35,36
CA,I,80,2015,37,43
CA,I,215,1990,23,29
CA,I,215,1995,10,12
CA,I,215,2000,10,14
CA,I,215,2005,19,21
CA,I,215,2010,7,7
CA,I,215,2015,13,13
CA,I,280,1990,17,23
CA,I,280,1995,10,10
CA,I,280,2000,7,7
CA,I,280,2005,12,13
CA,I,280,2010,5,6
CA,I,280,2015,9,9
CA,I,805,1990,13,13
CA,I,805,1995,8,9
CA,I,805,2000,18,20
CA,I,805,2005,13,15
CA,I,805,2010,9,10
CA,I,805,2015,7,9
CA,I,580,1990,12,16
CA,I,580,1995,18,20
CA,I,580,2000,19,21
CA,I,580,2005,16,21
CA,I,580,2010,9,10
CA,I,580,2015,17,19
CA,I,40,1990,14,14
CA,I,40,1995,13,20
CA,I,40,2000,10,14
CA,I,40,2005,17,30
CA,I,40,2010,14,15
CA,I,40,2015,7,7
CA,I,210,1990,15,16
CA,I,210,1995,10,10
CA,I,210,2000,13,15
CA,I,210,2005,16,17
CA,I,210,2010,10,10
CA,I,210,2015,9,9
CA,I,405,1990,28,31
CA,I,405,1995,19,21
CA,I,405,2000,22,24
CA,I,405,2005,15,17
CA,I,405,2010,11,11
CA,I,405,2015,29,30
CA,I,110,1990,16,19
CA,I,110,1995,10,10
CA,I,110,2000,7,7
CA,I,110,2005,13,14
CA,I,110,2010,6,6
CA,I,110,2015,6,6
CA,I,505,1990,2,3
CA,I,505,2005,4,4
CA,I,505,2010,2,3
CA,I,505,2015,1,4
CA,I,680,1990,16,19
CA,I,680,1995,11,14
CA,I,680,2000,14,15
CA,I,680,2005,15,20
CA,I,680,2010,5,6
CA,I,680,2015,10,11
CA,I,105,1990,7,7
CA,I,105,1995,3,3
CA,I,105,2000,6,6
CA,I,105,2005,8,8
CA,I,105,2010,2,2
CA,I,105,2015,1,1
CA,I,710,1990,17,21
CA,I,710,1995,18,20
CA,I,710,2000,13,13
CA,I,710,2005,16,16
CA,I,710,2010,10,10
CA,I,710,2015,5,5
CA,I,205,1990,4,4
CA,I,205,1995,3,3
CA,I,205,2000,5,5
CA,I,205,2005,3,3
CA,I,205,2010,1,1
CA,I,205,2015,2,2
CA,I,238,1990,1,1
CA,I,238,2005,1,1
CO,I,225,1990,4,5
CO,I,225,1995,2,2
CO,I,225,2000,1,1
CO,I,225,2005,2,2
CO,I,225,2010,2,2
CO,I,225,2015,3,4
CO,I,25,1990,49,55
CO,I,25,1995,56,64
CO,I,25,2000,52,56
CO,I,25,2005,33,34
CO,I,25,2010,34,36
CO,I,25,2015,32,35
CO,I,70,1990,29,32
CO,I,70,1995,50,56
CO,I,70,2000,41,46
CO,I,70,2005,33,35
CO,I,70,2010,21,26
CO,I,70,2015,33,35
CO,I,76,1990,9,12
CO,I,76,1995,3,5
CO,I,76,2000,16,22
CO,I,76,2005,9,11
CO,I,76,2010,10,10
CO,I,76,2015,14,16
CO,I,270,1990,1,1
CO,I,270,1995,2,3
CO,I,270,2005,3,3
CO,I,270,2010,1,1
CO,I,270,2015,1,1
CT,I,95,1990,19,22
CT,I,95,1995,16,18
CT,I,95,2000,19,25
CT,I,95,2005,14,14
CT,I,95,2010,24,26
CT,I,95,2015,16,19
CT,I,84,1990,10,10
CT,I,84,1995,13,14
CT,I,84,2000,17,19
CT,I,84,2005,9,9
CT,I,84,2010,14,17
CT,I,84,2015,14,15
CT,I,91,1990,12,13
CT,I,91,1995,7,11
CT,I,91,2000,6,6
CT,I,91,2005,9,11
CT,I,91,2010,19,21
CT,I,91,2015,12,12
CT,I,384,1990,1,1
CT,I,384,1995,1,1
CT,I,384,2000,2,2
CT,I,384,2005,2,2
CT,I,691,1990,1,1
CT,I,691,2005,1,1
CT,I,691,2010,1,1
CT,I,691,2015,2,2
CT,I,395,1990,2,2
CT,I,395,1995,1,1
CT,I,395,2000,4,4
CT,I,395,2005,1,1
CT,I,395,2010,4,4
CT,I,395,2015,5,6
DC,I,295,1990,2,3
DC,I,295,1995,2,2
DC,I,295,2000,1,1
DC,I,295,2005,2,4
DC,I,295,2010,3,3
DC,I,395,1990,1,1
DC,I,395,1995,1,1
DC,I,395,2005,1,1
FL,I,95,1990,67,77
FL,I,95,1995,84,96
FL,I,95,2000,105,116
FL,I,95,2005,140,161
FL,I,95,2010,91,110
FL,I,95,2015,86,99
FL,I,395,1990,1,1
FL,I,395,1995,4,5
FL,I,395,2005,4,4
FL,I,395,2010,4,4
FL,I,75,1990,38,48
FL,I,75,1995,58,62
FL,I,75,2000,110,121
FL,I,75,2005,130,161
FL,I,75,2010,71,79
FL,I,75,2015,84,93
FL,I,10,1990,27,36
FL,I,10,1995,22,27
FL,I,10,2000,41,48
FL,I,10,2005,52,60
FL,I,10,2010,36,42
FL,I,10,2015,36,48
FL,I,4,1990,44,53
FL,I,4,1995,22,31
FL,I,4,2000,26,31
FL,I,4,2005,50,57
FL,I,4,2010,20,21
FL,I,4,2015,29,30
FL,I,295,1990,21,25
FL,I,295,1995,8,8
FL,I,295,2000,13,15
FL,I,295,2005,11,13
FL,I,295,2010,13,14
FL,I,295,2015,12,15
FL,I,275,1990,8,8
FL,I,275,1995,4,4
FL,I,275,2000,13,13
FL,I,275,2005,15,16
FL,I,275,2010,14,14
FL,I,275,2015,6,6
FL,I,195,1990,1,1
FL,I,195,2000,1,1
FL,I,195,2005,2,3
FL,I,195,2010,2,2
FL,I,195,2015,2,2
FL,I,595,1990,5,5
FL,I,595,1995,17,18
FL,I,595,2000,7,7
FL,I,595,2005,15,16
FL,I,595,2010,5,5
FL,I,595,2015,6,6
FL,I,375,1990,1,1
FL,I,375,2010,2,2
GA,I,185,1990,5,5
GA,I,185,1995,6,7
GA,I,185,2000,4,4
GA,I,185,2005,5,5
GA,I,185,2010,4,5
GA,I,185,2015,2,3
GA,I,75,1990,61,73
GA,I,75,1995,53,67
GA,I,75,2000,65,74
GA,I,75,2005,64,69
GA,I,75,2010,44,49
GA,I,75,2015,60,62
GA,I,95,1990,18,19
GA,I,95,1995,7,10
GA,I,95,2000,22,28
GA,I,95,2005,10,14
GA,I,95,2010,16,21
GA,I,95,2015,7,10
GA,I,285,1990,17,18
GA,I,285,1995,17,20
GA,I,285,2000,21,23
GA,I,285,2005,14,18
GA,I,285,2010,16,16
GA,I,285,2015,21,22
GA,I,20,1990,29,32
GA,I,20,1995,21,25
GA,I,20,2000,42,51
GA,I,20,2005,26,34
GA,I,20,2010,27,33
GA,I,20,2015,28,32
GA,I,85,1990,20,21
GA,I,85,1995,15,16
GA,I,85,2000,26,31
GA,I,85,2005,27,32
GA,I,85,2010,15,15
GA,I,85,2015,22,25
GA,I,516,1990,2,2
GA,I,516,1995,2,2
GA,I,516,2005,4,4
GA,I,516,2010,2,3
GA,I,516,2015,3,4
GA,I,575,1990,4,4
GA,I,575,1995,2,2
GA,I,575,2000,3,4
GA,I,575,2005,6,6
GA,I,575,2010,5,5
GA,I,575,2015,1,1
GA,I,475,1990,1,1
GA,I,475,2005,3,3
GA,I,475,2010,1,1
GA,I,475,2015,1,1
GA,I,16,1990,6,6
GA,I,16,1995,6,7
GA,I,16,2000,13,19
GA,I,16,2005,11,13
GA,I,16,2010,16,16
GA,I,16,2015,14,27
GA,I,675,1990,1,1
GA,I,675,1995,4,4
GA,I,675,2000,4,4
GA,I,675,2005,2,2
GA,I,675,2010,1,1
GA,I,675,2015,2,2
GA,I,985,1990,1,1
GA,I,985,1995,2,2
GA,I,985,2000,6,6
GA,I,985,2005,3,3
GA,I,985,2010,1,2
GA,I,985,2015,4,4
ID,I,86,1990,3,3
ID,I,86,1995,1,1
ID,I,86,2000,2,3
ID,I,86,2005,2,2
ID,I,86,2010,2,3
ID,I,86,2015,2,2
ID,I,84,1990,12,15
ID,I,84,1995,22,25
ID,I,84,2000,30,34
ID,I,84,2005,24,26
ID,I,84,2010,16,23
ID,I,84,2015,18,21
ID,I,90,1990,7,7
ID,I,90,1995,1,1
ID,I,90,2000,6,6
ID,I,90,2005,1,1
ID,I,90,2010,2,2
ID,I,90,2015,4,5
ID,I,15,1990,6,7
ID,I,15,1995,10,11
ID,I,15,2000,8,9
ID,I,15,2005,9,11
ID,I,15,2010,8,8
ID,I,15,2015,12,12
IL,I,90,1990,17,17
IL,I,90,1995,19,20
IL,I,90,2000,10,16
IL,I,90,2005,17,23
