hex,count
8444b6bffffffff,3
8445981ffffffff,1
8445985ffffffff,1
8445989ffffffff,1
844598dffffffff,1
8445991ffffffff,5
8445995ffffffff,5
8445999ffffffff,4
844599dffffffff,4
84459a1ffffffff,1
84459a5ffffffff,1
84459a9ffffffff,1
84459adffffffff,1
84459b1ffffffff,6
84459b5ffffffff,5
84459b9ffffffff,5
84459bdffffffff,3
844c961ffffffff,1
84459d1ffffffff,1
844c965ffffffff,1
84459d5ffffffff,1
84459d9ffffffff,1
844c969ffffffff,1
84459ddffffffff,1
844c96dffffffff,1
8444a01ffffffff,25
8444a05ffffffff,25
844480bffffffff,21
8444a09ffffffff,18
8444a0dffffffff,18
8444a11ffffffff,54
8444a15ffffffff,48
8444a19ffffffff,43
8444a1dffffffff,45
8444a21ffffffff,26
8444a25ffffffff,21
8444a29ffffffff,23
8444a2dffffffff,20
8444a31ffffffff,36
8444a35ffffffff,31
8444a39ffffffff,32
8444a3dffffffff,31
8444843ffffffff,29
8444a41ffffffff,8
8445837ffffffff,1
8444847ffffffff,25
8444a45ffffffff,7
8444a49ffffffff,7
844484bffffffff,32
8444a4dffffffff,6
8444a51ffffffff,19
8444857ffffffff,23
8444a55ffffffff,15
844485bffffffff,30
8444a59ffffffff,11
8444a5dffffffff,7
8444863ffffffff,14
8444a61ffffffff,11
8444867ffffffff,12
8444a65ffffffff,8
844486bffffffff,18
8444a69ffffffff,7
8444a6dffffffff,7
8445883ffffffff,2
8445887ffffffff,2
84458a3ffffffff,5
84458a7ffffffff,4
84458abffffffff,3
8444ac1ffffffff,15
84458b3ffffffff,4
8444ac5ffffffff,25
84458b7ffffffff,5
8444ac9ffffffff,12
84458bbffffffff,4
8444acdffffffff,27
8444ae1ffffffff,42
8444ae5ffffffff,34
8444ae9ffffffff,49
8444aedffffffff,42
84458e3ffffffff,1
84458e7ffffffff,1
8444103ffffffff,14
8444107ffffffff,12
844410bffffffff,8
8444b01ffffffff,9
8444b05ffffffff,5
8444b09ffffffff,8
8444b0dffffffff,6
8444b11ffffffff,14
8444b15ffffffff,11
8444123ffffffff,11
8444b19ffffffff,13
8444127ffffffff,14
8444b1dffffffff,11
844412bffffffff,8
8444b21ffffffff,3
8444b29ffffffff,3
8444b31ffffffff,10
8444b35ffffffff,6
8444b39ffffffff,10
8444b3dffffffff,9
8444b41ffffffff,4
8444b45ffffffff,3
8444b49ffffffff,4
8444b4dffffffff,2
8444b51ffffffff,11
8444b55ffffffff,8
8444163ffffffff,18
8444b59ffffffff,7
8444167ffffffff,16
8444b5dffffffff,7
844416bffffffff,24
8444b61ffffffff,2
8444b69ffffffff,1
8445983ffffffff,2
8445987ffffffff,2
844598bffffffff,2
8445993ffffffff,7
8445997ffffffff,6
844599bffffffff,4
84459a3ffffffff,2
84459a7ffffffff,2
84459abffffffff,1
84459b3ffffffff,6
84459b7ffffffff,6
84459bbffffffff,6
84459c3ffffffff,1
84459c7ffffffff,1
84459cbffffffff,1
84459d3ffffffff,2
84459d7ffffffff,2
84459dbffffffff,1
84459e3ffffffff,1
84459e7ffffffff,1
84459ebffffffff,1
8444801ffffffff,17
8444a03ffffffff,29
8444809ffffffff,24
8444a07ffffffff,29
844480dffffffff,19
8444a0bffffffff,23
8444a13ffffffff,51
8444a17ffffffff,52
8444a1bffffffff,43
8444a23ffffffff,29
8444a27ffffffff,28
8444a2bffffffff,27
8444a33ffffffff,36
8444a37ffffffff,33
8444a3bffffffff,34
8444841ffffffff,27
8444845ffffffff,24
8444a43ffffffff,11
8444849ffffffff,30
8444a47ffffffff,11
8444a4bffffffff,7
844484dffffffff,25
8444851ffffffff,31
8444855ffffffff,25
8444a53ffffffff,20
8444859ffffffff,34
8444a57ffffffff,27
844485dffffffff,30
8444a5bffffffff,14
8444861ffffffff,13
8444865ffffffff,13
8444a63ffffffff,19
8444869ffffffff,16
8444a67ffffffff,17
844486dffffffff,14
8444a6bffffffff,12
8445885ffffffff,3
84458a1ffffffff,3
84458a5ffffffff,3
84458a9ffffffff,2
84458adffffffff,2
84458b1ffffffff,4
8444ac3ffffffff,7
84458b5ffffffff,5
8444ac7ffffffff,17
84458b9ffffffff,3
8444acbffffffff,13
84458bdffffffff,4
8444ae7ffffffff,30
8444aebffffffff,31
84458e5ffffffff,1
8444101ffffffff,8
8444105ffffffff,7
8444109ffffffff,7
844410dffffffff,14
8444b03ffffffff,11
8444b07ffffffff,9
8444b0bffffffff,11
844411dffffffff,13
8444b13ffffffff,19
8444121ffffffff,6
8444b17ffffffff,13
8444125ffffffff,30
8444b1bffffffff,23
8444129ffffffff,9
8444b23ffffffff,5
844412dffffffff,8
8444135ffffffff,29
8444b2bffffffff,5
844413dffffffff,25
8444b33ffffffff,11
8444b37ffffffff,7
8444b3bffffffff,12
8444b43ffffffff,7
8444b47ffffffff,4
8444b4bffffffff,6
8444b53ffffffff,14
8444161ffffffff,16
8444959ffffffff,9
8444b57ffffffff,11
8444165ffffffff,13
8444b5bffffffff,13
844416dffffffff,9
8444b63ffffffff,3
8444b67ffffffff,2
8429149ffffffff,9
8429a11ffffffff,43
8429329ffffffff,6
84484b5ffffffff,28
8429a5dffffffff,36
8429027ffffffff,6
84484dbffffffff,4
842910bffffffff,18
8429131ffffffff,20
8429157ffffffff,12
8429337ffffffff,8
8429a45ffffffff,22
844849dffffffff,14
8429a6bffffffff,6
84484c3ffffffff,4
84484e9ffffffff,3
8448413ffffffff,2
8429119ffffffff,10
8429a07ffffffff,27
8429165ffffffff,33
8448485ffffffff,15
84484abffffffff,17
8429a53ffffffff,65
84484d1ffffffff,7
8429101ffffffff,24
8429127ffffffff,35
84485dbffffffff,2
8429307ffffffff,5
842914dffffffff,14
8429a15ffffffff,27
842932dffffffff,8
8429a3bffffffff,8
8448493ffffffff,20
84484b9ffffffff,21
8429135ffffffff,29
842915bffffffff,5
84484a1ffffffff,13
8429a49ffffffff,38
84291cdffffffff,6
84484c7ffffffff,5
84484edffffffff,2
8448417ffffffff,2
842911dffffffff,13
8429143ffffffff,13
8429323ffffffff,9
8429a0bffffffff,57
8429169ffffffff,24
8448489ffffffff,10
8429a57ffffffff,68
8429021ffffffff,4
84484d5ffffffff,9
8429105ffffffff,30
842912bffffffff,39
8429151ffffffff,9
8429331ffffffff,7
8429a19ffffffff,63
8448497ffffffff,22
84484bdffffffff,20
84291e9ffffffff,9
84484e3ffffffff,8
8429113ffffffff,9
8448433ffffffff,1
8429139ffffffff,20
8429a01ffffffff,46
8429365ffffffff,3
8429a4dffffffff,28
84484cbffffffff,4
8429121ffffffff,45
8429147ffffffff,20
8429327ffffffff,10
842916dffffffff,32
844848dffffffff,10
8429a5bffffffff,35
84484b3ffffffff,33
8429025ffffffff,5
84484d9ffffffff,3
8429acdffffffff,12
8429109ffffffff,19
8429155ffffffff,14
8429a1dffffffff,55
8429335ffffffff,9
