callSign	frequency	type	city	state	name	longitude	latitude
WAQI	710	AM	MIAMI	FL	UNIVISION RADIO STATIONS GROUP, INC.	-80.37889	25.96861
KFI	640	AM	LOS ANGELES	CA	CAPSTAR TX, LLC	-118.01306	33.87972
WWFE	670	AM	MIAMI	FL	FENIX BROADCASTING CORP.	-80.48111	25.8575
KBRT	740	AM	COSTA MESA	CA	KIERTRON, INC.	-117.63833	33.82889
KICY	850	AM	NOME	AK	ARCTIC BROADCASTING ASSOCIATION	-165.31194	64.48833
WIOD	610	AM	MIAMI	FL	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-80.47556	25.71056
WINZ	940	AM	MIAMI	FL	CLEAR CHANNEL BROADCASTING LICENSES, INC.	-80.27028	25.96
KCTA	1030	AM	CORPUS CHRISTI	TX	BROADCASTING CORPORATION OF THE SOUTHWEST	-97.25972	27.93306
KTRH	740	AM	HOUSTON	TX	AMFM TEXAS LICENSES LLC	-94.94222	29.96583
WWBC	1510	AM	COCOA	FL	ASTRO ENTERPRISES, INC.	-80.77917	28.35333
KCBS	740	AM	SAN FRANCISCO	CA	ENTERCOM LICENSE, LLC	-122.52917	38.13972
KSPN	710	AM	LOS ANGELES	CA	ABC RADIO LOS ANGELES ASSETS, LLC	-118.40972	34.17389
KTRB	860	AM	SAN FRANCISCO	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-122.13028	37.63222
KTNQ	1020	AM	LOS ANGELES	CA	UNIVISION RADIO STATIONS GROUP, INC.	-117.98333	34.03333
KCBQ	1170	AM	SAN DIEGO	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-116.92528	32.895
KTCT	1050	AM	SAN MATEO	CA	RADIO LICENSE HOLDING SRC LLC	-122.15056	37.65056
WURN	1040	AM	MIAMI	FL	ACTUALIDAD 1040AM LICENSEE, LLC	-80.42	25.84278
KKSF	910	AM	OAKLAND	CA	AMFM BROADCASTING LICENSES, LLC	-122.32361	37.89583
KEIB	1150	AM	LOS ANGELES	CA	CITICASTERS LICENSES, INC.	-117.98333	34.03333
KRXA	540	AM	CARMEL VALLEY	CA	EL SEMBRADOR MINISTRIES	-121.54139	36.66
KRLA	870	AM	GLENDALE	CA	NEW INSPIRATION BROADCASTING COMPANY	-118.22611	34.13694
WNMA	1210	AM	MIAMI SPRINGS	FL	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-80.36361	25.9
KDUN	1030	AM	REEDSPORT	OR	POST ROCK COMMUNICATIONS, LLC	-124.075	43.73806
WSUA	1260	AM	MIAMI	FL	WSUA BROADCASTING CORPORATION	-80.42111	25.77278
WOKV	690	AM	JACKSONVILLE	FL	COX RADIO, LLC	-81.71167	30.11861
WIXC	1060	AM	TITUSVILLE	FL	GENESIS COMMUNICATIONS I, INC.	-80.92139	28.66306
KBLA	1580	AM	SANTA MONICA	CA	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-118.25667	34.08556
WQBA	1140	AM	MIAMI	FL	UNIVISION RADIO STATIONS GROUP, INC.	-80.48611	25.7675
WWNN	1470	AM	POMPANO BEACH	FL	BEASLEY MEDIA GROUP LICENSES, LLC	-80.22083	26.17944
WWJZ	640	AM	MOUNT HOLLY	NJ	RELEVANT RADIO, INC.	-74.71972	39.99694
KSSK	590	AM	HONOLULU	HI	CAPSTAR TX, LLC	-157.87556	21.32389
KPRZ	1210	AM	SAN MARCOS-POWAY	CA	NEW INSPIRATION BROADCASTING COMPANY, INC.	-117.19306	33.06944
WWBA	820	AM	LARGO	FL	GENESIS COMMUNICATIONS OF TAMPA BAY, INC.	-82.78083	27.90833
KLAA	830	AM	ORANGE	CA	LAA 1, LLC	-117.61583	33.92861
WWL	870	AM	NEW ORLEANS	LA	ENTERCOM LICENSE, LLC	-90.13194	29.83722
KHVH	830	AM	HONOLULU	HI	CAPSTAR TX, LLC	-157.87556	21.32389
KNOM	780	AM	NOME	AK	KNOM RADIO MISSION, INC.	-165.29944	64.48778
WQOS	1080	AM	CORAL GABLES	FL	RELEVANT RADIO, INC.	-80.54639	25.74806
KDBV	980	AM	SALINAS	CA	CENTRO CRISTIANO VIDA ABUNDANTE, INC.	-121.59222	36.73278
KMPC	1540	AM	LOS ANGELES	CA	P&Y BROADCASTING CORPORATION	-118.18472	34.07861
KIQI	1010	AM	SAN FRANCISCO	CA	MULTICULTURAL RADIO BROADCASTING LICENSEE, LLC	-122.31028	37.82611
WBOB	600	AM	JACKSONVILLE	FL	CHESAPEAKE-PORTSMOUTH BROADCASTING CORPORATION	-81.75944	30.3
KLOK	1170	AM	SAN JOSE	CA	KLOK MEDIA, INC.	-121.87139	37.35778
WDMC	920	AM	MELBOURNE	FL	DIVINE MERCY COMMUNICATIONS, INC.	-80.72	28.12083
