hex,home_lng,home_lat,count
8a28308148effff,-122.28443,37.78696,65
8a2830972b2ffff,-122.47615,37.64911,26
8a283092e907fff,-122.39017,37.57756,41
8a28308a8767fff,-122.25285,37.86780,61
8a28308a0347fff,-122.19056,37.81595,35
8a283085d0effff,-122.51183,37.89716,34
8a28308a8297fff,-122.26006,37.86723,67
8a28308a9daffff,-122.26786,37.86574,26
8a2830929577fff,-122.45375,37.63543,33
8a2830970d07fff,-122.46345,37.65882,28
8a283097381ffff,-122.39972,37.71082,30
8a28308a8a9ffff,-122.25690,37.86703,73
8a28342dd757fff,-122.48369,37.58738,91
8a283097381ffff,-122.46572,37.68530,58
8a28308a8357fff,-122.26786,37.86574,63
8a283092eb0ffff,-122.42101,37.60263,61
8a2830985487fff,-122.17860,37.71400,31
8a283092a897fff,-121.38849,38.60658,26
8a28309466affff,-122.47652,37.71544,90
8a283092e907fff,-122.39833,37.58081,33
8a283081432ffff,-122.28661,37.76722,52
8a28308280f7fff,-122.41596,37.77531,83
8a2830971c27fff,-122.48841,37.66692,54
8a283092ba1ffff,-122.43187,37.64228,41
8a283092ba1ffff,-122.43201,37.61420,93
8a28309aa917fff,-121.97533,37.78661,26
8a28308a830ffff,-122.26786,37.86574,42
8a2830971c07fff,-122.47880,37.66741,68
8a2830929577fff,-122.43711,37.62388,107
8a283095c027fff,-122.50015,37.73855,40
8a283095e377fff,-122.47350,37.75065,33
8a28308597b7fff,-122.50040,37.92198,52
8a28308a831ffff,-122.25920,37.86223,94
8a2830929c57fff,-122.43711,37.62388,27
8a28308295a7fff,-122.43104,37.78092,28
8a283082915ffff,-122.45010,37.78336,33
8a28308a806ffff,-122.25920,37.86223,27
8a28309427a7fff,-122.48082,37.71830,27
8a28309466f7fff,-122.49651,37.68232,39
8a283082b177fff,-122.42015,37.79325,31
8a283092e65ffff,-122.37841,37.62075,75
8a28308288affff,-122.42092,37.76776,30
8a2830814adffff,-122.28443,37.78696,46
8a28308a80affff,-122.25038,37.86713,79
8a2830813d17fff,-122.26537,37.82088,27
