name,longitude,latitude,population
les Escaldes,1.53414,42.50729,15853
Andorra la Vella,1.52109,42.50779,20430
Umm Al Quwain City,55.55517,25.56473,62747
Ras Al Khaimah City,55.9432,25.78953,351943
Zayed City,53.70522,23.65416,63482
Khawr Fakkan,56.34199,25.33132,40677
Dubai,55.30927,25.07725,2956587
Dibba Al-Fujairah,56.26176,25.59246,30000
Dibba Al-Hisn,56.27291,25.61955,26395
Sharjah,55.41206,25.33737,1324473
Ar Ruways,52.73056,24.11028,16000
Al Fujairah City,56.34141,25.11641,86512
Al Ain City,55.76056,24.19167,55091
Ajman City,55.47878,25.40177,490035
Adh Dhayd,55.88157,25.28812,24716
Abu Dhabi,54.39696,24.45118,603492
Khalifah A City,54.605,24.42588,85374
Bani Yas City,54.62944,24.30978,80498
Musaffah,54.48267,24.35893,243341
Al Shamkhah City,54.70779,24.39268,61710
Reef Al Fujairah City,56.24764,25.14479,82310
Zaranj,61.86037,30.95962,49851
Bazar-e Yakawlang,66.97379,34.73525,65000
Taloqan,69.53451,36.73605,64256
Shindand,62.1474,33.30294,29264
Shibirghan,65.7529,36.66757,55641
Shahrak,64.3052,34.10737,15967
Sar-e Pul,65.93249,36.21544,52121
Sang-e Charak,66.43694,35.84972,15377
Aibak,68.01551,36.26468,47823
Rustaq,69.83045,37.12604,25636
Qarqin,66.04358,37.41853,15018
Qarawul,68.7802,37.21959,24544
Pul-e Khumri,68.71512,35.94458,56369
Paghman,68.95091,34.58787,49157
Nahrin,69.13343,36.0649,22363
Maymana,64.78361,35.92139,75900
Mehtar Lam,70.20944,34.67139,17345
Mazar-e Sharif,67.11087,36.70904,303282
Lashkar Gah,64.37161,31.59382,43934
Kushk,61.95221,33.29565,16952
Kunduz,68.857,36.72895,161902
Khost,69.92041,33.33951,96123
Khulm,67.69826,36.69736,64933
Khash,62.79055,31.52919,15133
Khanabad,69.11279,36.68304,71531
Karukh,62.5863,34.48108,17484
Kandahar,65.71013,31.61332,391190
Kabul,69.17233,34.52813,3043532
Jalalabad,70.45153,34.42647,200331
Jabal os Saraj,69.23778,35.11833,15032
Herat,62.19967,34.34817,272806
Ghormach,63.78264,35.73062,30000
Ghazni,68.42096,33.55391,141000
Gereshk,64.57005,31.82089,43588
Gardez,69.22592,33.59744,103601
Fayzabad,70.58002,37.11664,44421
Farah,62.11638,32.37451,43561
Kafir Qala,61.06667,34.66667,18086
Charikar,69.17139,35.01361,53676
Baraki Barak,68.9492,33.96744,22305
Bamyan,67.82734,34.82156,61863
Balkh,66.8972,36.75635,114883
Baghlan,68.70829,36.13068,108449
Art Khwajah,69.47958,37.08571,18623
Asmar,71.35809,35.03333,15708
Asadabad,71.14697,34.87311,48400
Andkhoy,65.12376,36.95293,29208
Bazarak,69.51519,35.31292,65000
Markaz-e Woluswali-ye Achin,70.70778,34.12583,15098
Saint John's,-61.84329,17.12096,24226
The Valley,-63.05783,18.21704,2035
Sarande,20.00477,39.87534,15147
Pogradec,20.6525,40.9025,61530
Kukes,20.42194,42.07694,17832
Korce,20.78083,40.61861,58259
Gjirokaster,20.13889,40.07583,23437
Elbasan,20.08222,41.1125,100903
Burrel,20.00889,41.61028,15405
Vlore,19.48318,40.4686,89546
Tirana,19.81889,41.3275,374801
Shkoder,19.51258,42.06828,88245
Patos Fshat,19.65083,40.64278,22679
Patos,19.61944,40.68333,60000
Lushnje,19.705,40.94194,41469
Lezhe,19.64361,41.78361,18695
Lac,19.71306,41.63556,24825
Kucove,19.91667,40.80028,18166
Kruje,19.79278,41.50917,21286
Kavaje,19.55694,41.18556,29354
