id,value
d79a00000000000,15
d79600000000000,15
d73a00000000000,15
d73e00000000000,16
d73200000000000,16
d6c200000000000,15
d6c600000000000,15
d6ca00000000000,15
d6ee00000000000,16
d79e00000000000,15
d73600000000000,15
d7a600000000000,15
d7a200000000000,15
1149200000000000,15
114aa00000000000,15
d7aa00000000000,15
d72200000000000,16
d72e00000000000,16
d70600000000000,16
1146e00000000000,16
1148e00000000000,16
114a600000000000,16
114a200000000000,16
d7ae00000000000,15
d7b600000000000,15
d72a00000000000,15
1146a00000000000,15
1147200000000000,15
1144600000000000,15
114ae00000000000,16
114b600000000000,16
d7e600000000000,16
d78e00000000000,15
d7b200000000000,15
d71e00000000000,15
d6f200000000000,16
1141e00000000000,16
d78600000000000,15
d72600000000000,16
d70a00000000000,16
d6fe00000000000,16
d6fa00000000000,15
1149a00000000000,15
1149e00000000000,15
1143600000000000,15
d7ba00000000000,15
d71a00000000000,15
d70200000000000,16
1144a00000000000,15
d70e00000000000,16
d45600000000000,15
1146600000000000,16
1144e00000000000,15
1143a00000000000,10
1142200000000000,16
114ba00000000000,16
1142a00000000000,16
1141a00000000000,16
d7ce00000000000,15
d7be00000000000,15
d71200000000000,16
1145200000000000,15
1149600000000000,15
d7d200000000000,15
1190600000000000,16
1144200000000000,15
1193e00000000000,15
1142e00000000000,16
1141200000000000,16
d7de00000000000,15
d7e200000000000,15
d71600000000000,15
d8f200000000000,16
d8fe00000000000,16
1193200000000000,15
1140e00000000000,16
d7ea00000000000,15
d8c600000000000,15
1190a00000000000,16
1192e00000000000,15
1143e00000000000,15
1142600000000000,15
d7c200000000000,15
d8ee00000000000,15
da5600000000000,16
1190200000000000,16
1193a00000000000,15
d7f600000000000,15
d7ca00000000000,15
d81200000000000,15
d8c200000000000,15
d8fa00000000000,16
d90200000000000,15
1194200000000000,15
1143200000000000,10
d7ee00000000000,15
d7c600000000000,16
d8ca00000000000,15
11a5600000000000,15
1190e00000000000,16
1199600000000000,15
d80e00000000000,15
d81600000000000,15
d8be00000000000,15
d8ea00000000000,15
d8f600000000000,15
da5a00000000000,15
990600000000000,15
11a5200000000000,16
1192a00000000000,15
1140600000000000,16
1140a00000000000,16
d7fa00000000000,16
d7f200000000000,15
d8ce00000000000,15
da5e00000000000,15
d90e00000000000,16
d90a00000000000,16
d90600000000000,15
d92a00000000000,15
992e00000000000,15
993200000000000,15
1192600000000000,16
1193600000000000,15
1194a00000000000,16
d81a00000000000,15
d8ba00000000000,15
d8e200000000000,15
da5200000000000,16
993600000000000,15
1192200000000000,15
1191e00000000000,10
1199a00000000000,15
1194e00000000000,16
d80200000000000,15
d8e600000000000,15
d92600000000000,15
992600000000000,15
992a00000000000,15
11a5a00000000000,16
11a6600000000000,16
1199e00000000000,10
1196a00000000000,16
1140200000000000,15
d7fe00000000000,15
d82600000000000,15
d8b200000000000,15
da6600000000000,15
11a6200000000000,16
1191200000000000,10
1194600000000000,15
1195200000000000,15
d81e00000000000,15
d8de00000000000,15
da6200000000000,15
d91200000000000,15
992200000000000,15
441200000000000,15
11a6a00000000000,16
11a4e00000000000,10
1199200000000000,15
119a600000000000,15
d8b600000000000,15
d8d200000000000,15
da7600000000000,15
da6a00000000000,15
da4e00000000000,15
9a6200000000000,15
991200000000000,15
999e00000000000,15
43f600000000000,15
43f200000000000,15
119a200000000000,15
1196600000000000,16
1195a00000000000,15
1195600000000000,15
113fe00000000000,15
d80a00000000000,15
d8ae00000000000,15
d8da00000000000,15
9a6600000000000,15
9a4e00000000000,15
440200000000000,15
440600000000000,15
440e00000000000,15
443a00000000000,15
1191a00000000000,10
119b600000000000,10
1196e00000000000,15
d82a00000000000,15
d82200000000000,15
d88600000000000,15
991a00000000000,15
991e00000000000,15
99b600000000000,15
441600000000000,15
11a6e00000000000,15
113fa00000000000,15
d8a200000000000,15
d8d600000000000,15
da6e00000000000,15
9a6e00000000000,15
9a6a00000000000,15
996600000000000,15
995200000000000,15
1191600000000000,10
119aa00000000000,15
1196200000000000,16
1195e00000000000,16
dd5600000000000,15
d80600000000000,15
d82e00000000000,15
d83200000000000,15
d8aa00000000000,15
da7a00000000000,16
da4a00000000000,15
9a7600000000000,15
9a4a00000000000,15
991600000000000,15
996200000000000,15
995e00000000000,15
441e00000000000,15
442600000000000,15
441a00000000000,15
11a7600000000000,16
11a7200000000000,16
11a4600000000000,10
11a4a00000000000,10
119ba00000000000,10
1198e00000000000,15
1197200000000000,16
d83600000000000,15
d89e00000000000,15
da7200000000000,15
da4600000000000,15
980a00000000000,16
9a7a00000000000,15
9a7200000000000,15
99ba00000000000,15
119be00000000000,10
dd6600000000000,15
d8a600000000000,15
d88a00000000000,15
d88200000000000,15
da7e00000000000,15
9a9600000000000,15
99be00000000000,15
440a00000000000,15
4e8a00000000000,15
119ae00000000000,15
113f600000000000,16
dd5a00000000000,15
dd5200000000000,15
da4200000000000,15
980600000000000,16
982e00000000000,16
9a4200000000000,15
442200000000000,15
11a8e00000000000,15
11a9200000000000,10
11a4200000000000,10
119b200000000000,15
119ce00000000000,15
1198a00000000000,15
1197600000000000,16
d83a00000000000,15
d89a00000000000,15
d88e00000000000,15
da8e00000000000,15
da9200000000000,15
983200000000000,15
9a8e00000000000,15
9a4600000000000,15
9a9200000000000,15
11a9600000000000,10
1198600000000000,15
1197a00000000000,16
113f200000000000,15
dd6200000000000,15
d89200000000000,15
da8200000000000,15
9d5200000000000,16
989200000000000,15
98a600000000000,15
4ea200000000000,15
11aa600000000000,15
11a9a00000000000,10
119c200000000000,10
113da00000000000,16
113de00000000000,15
113e200000000000,15
dd5e00000000000,15
dd4e00000000000,15
d83e00000000000,15
d87e00000000000,15
da8a00000000000,15
daa600000000000,15
da9a00000000000,15
9d6600000000000,15
9d4e00000000000,15
983e00000000000,15
983a00000000000,15
989e00000000000,15
9a8a00000000000,15
4e9e00000000000,15
11a7e00000000000,16
11a8200000000000,15
11a8a00000000000,16
11a3e00000000000,10
1198200000000000,16
1197e00000000000,16
d89600000000000,15
d87200000000000,15
dad600000000000,15
9aa600000000000,15
9a9a00000000000,15
9a3e00000000000,15
442a00000000000,15
11ad600000000000,15
119ca00000000000,16
119d200000000000,15
113e600000000000,15
d84600000000000,15
d87a00000000000,15
da8600000000000,15
9d5e00000000000,16
9d6200000000000,15
11aaa00000000000,15
11a9e00000000000,15
119e600000000000,15
113ea00000000000,15
113ee00000000000,15
dd6a00000000000,15
dd4a00000000000,15
dd4200000000000,15
d86e00000000000,15
daaa00000000000,15
da9e00000000000,15
9d6a00000000000,15
9d4a00000000000,15
9d4200000000000,15
4e9600000000000,15
4e8600000000000,15
4e8200000000000,15
4e2a00000000000,15
447e00000000000,15
11a3a00000000000,10
d84200000000000,15
dada00000000000,15
d3ea00000000000,15
d3f200000000000,16
d3ee00000000000,16
11aae00000000000,16
11aa200000000000,15
11a3600000000000,10
11a2200000000000,10
119c600000000000,10
119da00000000000,16
113ca00000000000,15
113c600000000000,15
dd7600000000000,15
dd4600000000000,15
dd9200000000000,15
d84a00000000000,15
d87600000000000,15
dad200000000000,15
daae00000000000,15
daa200000000000,15
d3ca00000000000,15
d3c600000000000,16
9d7600000000000,15
9d4600000000000,15
9d9200000000000,15
4e7600000000000,15
