id,value
0000,15
0001,15
0002,15
0003,15
0004,15
0005,15
0006,15
0007,15
0008,15
0009,15
000b,15
000c,15
000d,15
000e,15
000f,15
000g,15
000h,15
000j,15
000k,15
000m,15
000n,15
000p,15
000q,15
000r,15
000s,15
000t,15
000u,15
000v,15
000w,15
000x,15
000y,15
000z,15
0010,15
0011,15
0012,15
0013,15
0014,15
0015,15
0016,15
0017,15
0018,15
0019,15
001b,15
001c,15
001d,15
001e,15
001f,15
001g,15
001h,15
001j,15
001k,15
001m,15
001n,15
001p,15
001q,15
001r,15
001s,15
001t,15
001u,15
001v,15
001w,15
001x,15
001y,15
001z,15
0020,15
0021,15
0022,15
0023,15
0024,15
0025,15
0026,15
0027,15
0028,15
0029,15
002b,15
002c,15
002d,15
002e,15
002f,15
002g,15
002h,15
002j,15
002k,15
002m,15
002n,15
002p,15
002q,15
002r,15
002s,15
002t,15
002u,15
002v,15
002w,15
002x,15
002y,15
002z,15
0030,15
0031,15
0032,15
0033,15
0034,15
0035,15
0036,15
0037,15
0038,15
0039,15
003b,15
003c,15
003d,15
003e,15
003f,15
003g,15
003h,15
003j,15
003k,15
003m,15
003n,15
003p,15
003q,15
003r,15
003s,15
003t,15
003u,15
003v,15
003w,15
003x,15
003y,15
003z,15
0040,15
0041,15
0042,15
0043,15
0044,15
0045,15
0046,15
0047,15
0048,15
0049,15
004b,15
004c,15
004d,15
004e,15
004f,15
004g,15
004h,15
004j,15
004k,15
004m,15
004n,15
004p,15
004q,15
004r,15
004s,15
004t,15
004u,15
004v,15
004w,15
004x,15
004y,15
004z,15
0050,15
0051,15
0052,15
0053,15
0054,15
0055,15
0056,15
0057,15
0058,15
0059,15
005b,15
005c,15
005d,15
005e,15
005f,15
005g,15
005h,15
005j,15
005k,15
005m,15
005n,15
005p,15
005q,15
005r,15
005s,15
005t,15
005u,15
005v,15
005w,15
005x,15
005y,15
005z,15
0060,15
0061,15
0062,15
0063,15
0064,15
0065,15
0066,15
0067,15
0068,15
0069,15
006b,15
006c,15
006d,15
006e,15
006f,15
006g,15
006h,15
006j,15
006k,15
006m,15
006n,15
006p,15
006q,15
006r,15
006s,15
006t,15
006u,15
006v,15
006w,15
006x,15
006y,15
006z,15
0070,15
0071,15
0072,15
0073,15
0074,15
0075,15
0076,15
0077,15
0078,15
0079,15
007b,15
007c,15
007d,15
007e,15
007f,15
007g,15
007h,15
007j,15
007k,15
007m,15
007n,15
007p,15
007q,15
007r,15
007s,15
007t,15
007u,15
007v,15
007w,15
007x,15
007y,15
007z,15
0080,15
0081,15
0082,15
0083,15
0084,15
0085,15
0086,15
0087,15
0088,15
0089,15
008b,15
008c,15
008d,15
008e,15
008f,15
008g,15
008h,15
008j,15
008k,15
008m,15
008n,15
008p,15
008q,15
008r,15
008s,15
008t,15
008u,15
008v,15
008w,15
008x,15
008y,15
008z,15
0090,15
0091,15
0092,15
0093,15
0094,15
0095,15
0096,15
0097,15
0098,15
0099,15
009b,15
009c,15
009d,15
009e,15
009f,15
009g,15
009h,15
009j,15
009k,15
009m,15
009n,15
009p,15
009q,15
009r,15
009s,15
009t,15
009u,15
009v,15
009w,15
009x,15
009y,15
009z,15
00b0,15
00b1,15
00b2,15
00b3,15
00b4,15
00b5,15
00b6,15
00b7,15
00b8,15
00b9,15
00bb,15
00bc,15
00bd,15
00be,15
00bf,15
00bg,15
00bh,15
00bj,15
00bk,15
00bm,15
00bn,15
00bp,15
00bq,15
00br,15
00bs,15
00bt,15
00bu,15
00bv,15
00bw,15
00bx,15
00by,15
00bz,15
00c0,15
00c1,15
00c2,15
00c3,15
00c4,15
00c5,15
00c6,15
00c7,15
00c8,15
00c9,15
00cb,15
00cc,15
00cd,15
00ce,15
00cf,15
00cg,15
00ch,15
00cj,15
00ck,15
00cm,15
00cn,15
00cp,15
00cq,15
00cr,15
00cs,15
00ct,15
00cu,15
00cv,15
00cw,15
00cx,15
00cy,15
00cz,15
00d0,15
00d1,15
00d2,15
00d3,15
00d4,15
00d5,15
00d6,15
00d7,15
00d8,15
00d9,15
00db,15
00dc,15
00dd,15
00de,15
00df,15
00dg,15
00dh,15
00dj,15
00dk,15
00dm,15
00dn,15
00dp,15
00dq,15
00dr,15
00ds,15
00dt,15
00du,15
00dv,15
00dw,15
00dx,15
00dy,15
00dz,15
00e0,15
00e1,15
00e2,15
00e3,15
00e4,15
00e5,15
00e6,15
00e7,15
00e8,15
00e9,15
00eb,15
00ec,15
00ed,15
00ee,15
00ef,15
00eg,15
00eh,15
00ej,15
00ek,15
00em,15
00en,15
00ep,15
00eq,15
00er,15
00es,15
00et,15
00eu,15
00ev,15
00ew,15
00ex,15
00ey,15
00ez,15
00f0,15
00f1,15
00f2,15
00f3,15
00f4,15
00f5,15
00f6,15
00f7,15
00f8,15
00f9,15
00fb,15
00fc,15
00fd,15
00fe,15
00ff,15
00fg,15
00fh,15
00fj,15
00fk,15
00fm,15
00fn,15
00fp,15
00fq,15
00fr,15
00fs,15
00ft,15
00fu,15
00fv,15
00fw,15
00fx,15
00fy,15
00fz,15
00g0,15
00g1,15
00g2,15
00g3,15
00g4,15
00g5,15
00g6,15
00g7,15
00g8,15
00g9,15
00gb,15
00gc,15
00gd,15
00ge,15
