id,value
8400011ffffffff,15
8400013ffffffff,15
840001bffffffff,15
8400181ffffffff,15
8400189ffffffff,15
840018dffffffff,15
84001a1ffffffff,15
84001a3ffffffff,15
84001a5ffffffff,15
84001a7ffffffff,15
84001a9ffffffff,15
84001abffffffff,15
84001adffffffff,15
84001b5ffffffff,15
84001bdffffffff,15
84001c1ffffffff,15
84001c3ffffffff,15
84001c5ffffffff,15
84001c7ffffffff,15
84001e1ffffffff,15
84001e3ffffffff,15
84001e7ffffffff,15
84001e9ffffffff,15
84001ebffffffff,15
840021bffffffff,15
8400253ffffffff,16
8400281ffffffff,15
8400283ffffffff,15
8400285ffffffff,15
8400287ffffffff,15
8400289ffffffff,15
840028bffffffff,15
840028dffffffff,15
8400291ffffffff,16
8400295ffffffff,16
8400299ffffffff,16
840029dffffffff,15
84002a1ffffffff,15
84002a3ffffffff,16
84002a9ffffffff,15
84002abffffffff,15
84002b9ffffffff,16
84002bbffffffff,16
84002bdffffffff,16
84002c1ffffffff,15
84002c3ffffffff,15
84002c9ffffffff,15
84002cbffffffff,15
84002cdffffffff,10
84002d1ffffffff,15
84002d3ffffffff,15
84002d5ffffffff,15
84002d7ffffffff,15
84002d9ffffffff,15
84002dbffffffff,16
84002ddffffffff,15
84002e1ffffffff,16
84002e3ffffffff,15
84002e5ffffffff,16
84002e9ffffffff,16
84004c1ffffffff,16
84004c3ffffffff,16
84004c9ffffffff,16
84004cbffffffff,15
84004d1ffffffff,15
84004d3ffffffff,15
84004d5ffffffff,16
84004d7ffffffff,15
84004d9ffffffff,16
84004dbffffffff,15
84004ddffffffff,15
8400611ffffffff,15
8400613ffffffff,15
8400615ffffffff,16
8400617ffffffff,15
840061bffffffff,15
8400681ffffffff,16
8400683ffffffff,16
8400685ffffffff,15
8400687ffffffff,16
8400689ffffffff,15
840068bffffffff,16
840068dffffffff,16
8400691ffffffff,15
8400693ffffffff,15
8400695ffffffff,16
8400697ffffffff,16
8400699ffffffff,15
840069bffffffff,15
840069dffffffff,15
84006a1ffffffff,16
84006a3ffffffff,16
84006a9ffffffff,15
84006abffffffff,16
84006b1ffffffff,16
84006b3ffffffff,15
84006b5ffffffff,16
84006b7ffffffff,15
84006b9ffffffff,16
84006bbffffffff,16
84006bdffffffff,16
84006c1ffffffff,15
84006c3ffffffff,15
84006c5ffffffff,16
84006c7ffffffff,16
84006c9ffffffff,15
84006cbffffffff,15
84006cdffffffff,15
84006d1ffffffff,15
84006d3ffffffff,15
84006d5ffffffff,15
84006d7ffffffff,15
84006d9ffffffff,16
84006dbffffffff,15
84006ddffffffff,15
84006e3ffffffff,16
84006e9ffffffff,16
84006ebffffffff,16
