id,value
011021211,15
011021300,15
011021301,16
011021310,16
011021311,16
011030200,16
011030201,16
011030210,16
011030211,16
011030300,16
011030301,16
011030310,15
011021220,15
011021221,15
011021230,15
011021231,15
011021320,15
011021321,15
011021330,15
011021331,15
011030220,16
011030221,15
011030230,16
011030231,16
011030320,16
011030321,16
011030330,15
011030331,15
011031220,15
011031221,16
011031230,15
011020332,16
011020333,15
011021222,15
011021223,15
011021232,15
011021233,15
011021322,15
011021323,15
011021332,15
011021333,15
011030222,15
011030223,15
011030232,15
011030233,16
011030322,16
011030323,16
011030332,15
011030333,15
011031222,15
011031223,15
011031232,16
011031233,16
011022011,15
011022100,15
011022101,15
011022110,15
011022111,15
011023000,15
011023001,15
011023010,15
011023011,15
011023100,15
011023101,15
011023110,15
011023111,15
011032000,15
011032001,16
011032010,16
011032011,16
011032100,16
011032101,10
011032110,10
011032111,15
011033000,16
011033001,16
011033010,16
011022003,16
011022012,15
011022103,15
011022112,15
011022113,15
011023002,15
011023003,15
011023012,15
011023013,15
011023102,15
011023103,16
011023112,16
011023113,16
011032002,16
011032003,16
011032012,16
011032013,16
011033013,16
011033102,15
011033103,15
010033022,15
010033023,15
010033032,15
010033033,15
010033122,15
010133132,16
010133133,15
011022022,16
011022023,15
011022032,15
011022033,10
011022122,16
011022123,15
011022132,15
011022133,15
011023022,15
011023023,15
011023032,15
011023033,15
011023122,16
011023123,16
011023132,16
011023133,16
011032022,16
011032033,15
011032122,15
011032123,15
011032132,16
011032133,16
011033022,16
011033023,16
011033032,16
011033033,16
011033122,16
011033123,16
010032201,15
010032210,16
010032211,16
010032300,16
010032301,16
010032310,16
010032311,16
010033200,15
010033201,15
010033210,15
010033211,15
010033300,16
010033301,16
010033310,15
010133300,16
010133301,15
010133310,16
010133311,15
011022200,15
011022201,15
011022210,16
011022211,16
011022300,15
011022301,10
011022310,10
011023200,15
011023201,15
011023210,16
011023211,15
011023300,16
011023301,16
011023310,16
011023311,15
011032200,16
011032201,16
011032210,15
011032211,15
011032300,15
011032301,15
011032310,16
011032311,16
011033200,16
011033201,16
011033210,16
011033211,16
011033300,16
011033301,15
010023303,15
010023312,15
010023313,16
010032202,15
010032203,15
010032212,15
010032213,15
010032302,16
010032303,16
010032312,16
010032313,16
010033202,15
010033203,15
010033212,15
010033213,16
010033302,16
010033303,16
010033312,16
010033313,16
010122202,16
010122203,15
010122213,16
010133213,15
010133302,15
010133303,15
010133312,15
010133313,15
011022202,15
011022203,16
011022212,15
011022213,10
011022302,10
011022303,15
011022312,15
011022313,15
011023202,15
011023203,15
011023212,15
011023213,15
011023302,16
011023303,15
011023312,15
011023313,16
011032202,15
011032203,15
011032212,15
011032213,15
011032302,15
011032303,15
011032312,15
011032313,15
011033202,15
011033203,16
011033212,16
011033213,16
011033302,15
011033303,16
011033312,15
011033313,15
011122202,16
010023320,15
010023321,16
010023330,16
010023331,15
010032220,16
010032221,16
010032230,15
010032231,15
010032320,16
010032321,15
010032330,16
010032331,16
010033220,15
010033221,15
010033230,15
010033231,15
010033320,15
010033321,15
010033330,16
010033331,16
010122220,16
010122221,16
010122230,16
010122231,16
010122320,16
010122321,16
010133230,15
010133231,15
011022231,16
011022320,15
011022321,15
011022330,15
011022331,15
011023221,15
011023230,15
011023231,15
011023320,15
011023321,15
011023330,15
011023331,16
011032220,15
011032221,16
011032230,15
011032231,15
011032320,15
011032321,15
011032330,16
011032331,15
011033220,16
011033221,16
011033230,16
011033231,16
011033320,16
011033321,15
011033330,16
011033331,16
011122220,16
011122221,15
011122230,15
010023322,16
010023323,15
010023332,16
010023333,16
010032222,16
010032223,15
010032232,15
010032322,16
010032323,16
010032332,16
010032333,15
010033222,15
010033223,15
010033232,15
010033233,15
010033322,15
010033323,15
010033332,16
010122222,16
010122223,16
010122232,16
010122233,16
010122322,16
010122323,16
010133332,15
010133333,15
011022222,15
011022223,15
011022232,16
011022323,15
011022332,15
011022333,15
011023222,15
011023223,15
011023232,15
011023233,15
011023322,15
011023323,15
011023332,15
011023333,16
011032222,15
011032223,15
011032232,15
011032233,16
011032322,16
011032323,16
011032332,15
011032333,16
011033222,16
011033223,16
011033232,16
011033233,16
011033322,16
011033323,15
011033332,16
011033333,16
011122222,16
011122223,16
011122232,15
011122233,15
010201011,15
010201100,15
010201101,15
010201110,16
010201111,16
010210000,15
010210001,15
010210010,15
010210011,15
010210100,15
010210101,15
010210110,15
010210111,15
010211000,16
010211001,15
010211010,15
010211011,15
010211100,15
010211101,16
010211110,16
010211111,16
010300000,16
010300001,15
010300010,16
010300011,16
010300100,16
010300101,16
010300110,16
010311100,16
010311101,15
010311110,15
010311111,15
011200000,15
011200001,15
011200010,15
011200011,16
011200100,15
011200110,15
011200111,15
011201000,15
011201001,15
011201010,15
011201011,15
011201100,15
011201101,15
011201110,16
011201111,16
011210000,16
011210001,15
011210010,16
011210011,16
011210100,16
011210101,16
011210110,15
011210111,16
011211000,16
011211001,16
011211010,16
011211011,16
011211100,10
011211101,10
011211110,16
011211111,16
011300000,16
011300001,16
011300010,15
