id,value
00964,9
00974,9
0097c,9
00984,9
0098c,9
00994,9
0099c,9
009bc,13
009c4,2
009d4,2
009dc,9
009e4,9
009ec,9
009f4,9
009fc,10
00a04,9
00a0c,9
00a14,9
00a1c,9
00a24,9
00a2c,9
00a34,9
00a3c,9
00a44,9
00a4c,9
00a54,9
00a5c,9
00a64,10
00a6c,9
00a74,9
00a7c,10
00a84,10
00a8c,10
00a94,10
00a9c,10
00aa4,10
00aac,9
00ab4,10
00abc,10
00ac4,9
00acc,9
00ad4,9
00adc,9
00ae4,9
00aec,9
00af4,9
00afc,9
00b04,9
00b0c,9
00b14,10
00b1c,9
00b24,9
00b2c,9
00b34,9
00b3c,9
00b44,9
00b4c,9
00b54,10
00b5c,10
00b64,9
00b6c,9
00b74,9
00b7c,9
00b84,9
00b8c,9
00b94,9
00b9c,9
00ba4,9
00bac,9
00bb4,9
00bbc,9
00bc4,10
00bcc,9
00bd4,9
00bdc,10
00be4,10
00bec,10
00c84,9
00c9c,9
00ca4,9
00cac,2
025a4,2
04eac,9
05b0c,16
07004,9
0700c,9
07014,9
07044,12
0704c,9
07054,9
0705c,10
07064,10
0706c,9
07074,10
0707c,10
07084,10
0708c,10
07094,10
0709c,10
070a4,10
070ac,10
070b4,10
070bc,10
070c4,10
070cc,10
070d4,10
070dc,10
070e4,10
070ec,10
070f4,10
070fc,10
07104,10
0710c,9
07114,10
0711c,10
07124,10
0712c,10
07134,10
0713c,10
07144,10
0714c,10
07154,10
0715c,9
07164,9
0716c,9
07174,9
071ac,9
07344,9
0734c,9
07354,9
0735c,9
07364,9
0736c,9
07374,9
0737c,9
07384,9
0738c,9
07394,2
0739c,2
073dc,2
073e4,9
073ec,8
073f4,8
073fc,9
07404,10
0740c,9
07414,10
0741c,9
07424,9
0742c,10
07434,10
0743c,9
07444,10
0744c,10
07454,10
0745c,10
07464,10
0746c,10
07474,9
0747c,9
07484,9
0748c,9
07494,8
0749c,9
074a4,9
074ac,10
074b4,9
074bc,9
074c4,9
074cc,9
074d4,9
074dc,9
074e4,9
074ec,9
074f4,9
074fc,9
07504,10
0750c,10
07514,10
0751c,10
07524,9
0752c,9
07534,10
0753c,10
07544,9
0754c,9
07554,9
0755c,9
07564,9
0756c,9
07574,9
0757c,10
07584,10
0758c,10
07594,9
0759c,9
075a4,10
075ac,10
075b4,9
075bc,10
075c4,9
075cc,9
075d4,9
075dc,9
075e4,9
075ec,9
075f4,9
075fc,9
07604,9
0760c,9
07614,9
0761c,9
07624,9
0762c,9
07634,9
0763c,9
07644,9
0764c,9
07654,9
0765c,10
07664,9
0766c,9
07674,9
0767c,9
07684,9
0768c,9
07694,10
0769c,9
076a4,9
076ac,10
076b4,9
076bc,9
076c4,10
076cc,10
076d4,10
076dc,10
076e4,10
076ec,10
076f4,10
076fc,10
07704,10
0770c,10
07714,10
0771c,10
07724,10
0772c,10
07734,10
0773c,10
07744,10
0774c,10
07754,10
0775c,10
07764,9
0776c,10
07774,9
0777c,9
07784,9
0778c,9
07794,8
0779c,9
077a4,9
077ac,9
077b4,9
077bc,8
077c4,9
077cc,8
077d4,9
077dc,9
077e4,9
077ec,9
077f4,9
077fc,9
07804,9
0780c,9
07814,9
0781c,9
07824,9
0782c,9
07834,9
0783c,9
07844,8
0784c,9
07854,8
0785c,8
07864,8
0786c,8
07874,9
0787c,9
07884,9
0788c,8
07894,8
0789c,9
078a4,9
078ac,9
078b4,8
078bc,8
078c4,8
078cc,8
078d4,8
078dc,8
078e4,9
078ec,8
078f4,8
078fc,8
07904,9
0790c,9
07914,9
0791c,9
07924,9
0792c,9
07934,9
0793c,9
07944,9
0794c,9
07954,10
0795c,9
07964,10
0796c,9
07974,9
0797c,10
07984,10
0798c,9
07994,9
0799c,9
079a4,9
079ac,9
079b4,9
079bc,9
079c4,9
079cc,9
079d4,9
079dc,9
079e4,10
079ec,10
079f4,10
079fc,10
07a04,10
07a0c,10
07a14,10
07a1c,9
07a24,9
07a2c,9
07a34,10
07a3c,9
07a44,10
07a4c,10
07a54,10
07a5c,10
07a64,10
07a6c,9
07a74,10
07a7c,10
07a84,10
07a8c,10
07a94,10
07a9c,10
07aa4,10
07aac,9
07ab4,10
07abc,10
07ac4,10
07acc,10
07ad4,10
07adc,10
07ae4,10
07aec,10
07af4,10
07afc,10
07b04,10
07b0c,10
07b14,10
07b1c,10
07b24,10
07b2c,10
07b3c,10
07b44,10
07b6c,10
07b74,10
07b84,10
07b8c,9
07b94,9
07b9c,10
07ba4,10
07bac,10
07bb4,10
07bbc,10
07bc4,9
07bcc,10
07bd4,9
07bdc,9
07be4,9
07bec,9
07bf4,9
07bfc,9
07c04,9
07c0c,9
07c14,9
07c1c,9
07c74,13
07e9c,10
07ea4,9
07eac,9
07eb4,9
